#,Firstname,Lastname,Class,"Date of Birth",Gender,Father,Mother,"Parent contact",Address
1,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
2,gihozo,audrey,P1A,2019-02-08,Female,,,,
3,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
4,gihozo,audrey,P1A,2019-02-08,Female,,,,
5,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
6,gihozo,audrey,P1A,2019-02-08,Female,,,,
7,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
8,gihozo,audrey,P1A,2019-02-08,Female,,,,
9,uwiz,eye,P3A,2019-02-08,Female,dad,test,0788000045,remera
10,muk,gih,P3A,2019-02-08,Male,gh,test,0788000000,remera
11,gih,gih,P3A,2019-02-22,Female,,,,
12,gih,gih,P3A,2019-02-22,Female,,,,
13,muk,gih,P3A,2019-02-08,Male,gh,test,0788000000,remera
14,gih,gih,P3A,2019-02-22,Female,,,,
15,gih,gih,P3A,2019-02-22,Female,,,,
16,uwiz,eye,P3A,2019-02-08,Female,dad,test,0788000045,remera
17,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
18,gihozo,audrey,P1A,2019-02-08,Female,,,,
19,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
20,gihozo,audrey,P1A,2019-02-08,Female,,,,
21,muk,gih,P3A,2019-02-08,Male,gh,test,0788000000,remera
22,gih,gih,P3A,2019-02-22,Female,,,,
23,gih,gih,P3A,2019-02-22,Female,,,,
24,muk,gih,P3A,2019-02-08,Male,gh,test,0788000000,remera
25,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
26,gihozo,audrey,P1A,2019-02-08,Female,,,,
27,gih,gih,P3A,2019-02-22,Female,,,,
28,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
29,gihozo,audrey,P1A,2019-02-08,Female,,,,
30,gih,gih,P3A,2019-02-22,Female,,,,
