#,Firstname,Lastname,Class,"Date of Birth",Gender,Father,Mother,"Parent contact",Address
1,uwiz,eye,P3A,2019-02-08,Female,dad,test,0788000045,remera
2,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
3,gihozo,audrey,P1A,2019-02-08,Female,,,,
4,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
5,gihozo,audrey,P1A,2019-02-08,Female,,,,
6,muk,gih,P3A,2019-02-08,Male,gh,test,0788000000,remera
7,gih,gih,P3A,2019-02-22,Female,,,,
8,gih,gih,P3A,2019-02-22,Female,,,,
9,muk,gih,P3A,2019-02-08,Male,gh,test,0788000000,remera
10,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
11,gihozo,audrey,P1A,2019-02-08,Female,,,,
12,gih,gih,P3A,2019-02-22,Female,,,,
13,test,demo,P1A,2/9/2019,Male,dad,mumy,784567380,kacyiru
14,gihozo,audrey,P1A,2019-02-08,Female,,,,
15,gih,gih,P3A,2019-02-22,Female,,,,
