#	Firstname	Lastname	Class	Date of Birth	Gender	Father	Mother	Parent contact	Address
1	muk	gih	P3A	08-02-19	Male	gh	test	788000000	remera
2	test	demo	P1A	02-09-19	Male	dad	mumy	784567380	kacyiru
3	gihozo	audrey	P1A	08-02-19	Female				
4	gih	gih	P3A	22-02-19	Female				
5	test	demo	P1A	02-09-19	Male	dad	mumy	784567380	kacyiru
6	gihozo	audrey	P1A	08-02-19	Female				
7	gih	gih	P3A	22-02-19	Female				
8	Berwa  	Gaby	P1A	F	02-01-01	fgyuyq	sdgt	78888889	sdh
9	DUFITIMANA  	Prince	P1A	M	03-01-01	ascjhg	dsgz	78888890	sfh
10	HIRWA 	Ornella	P1A	F	04-01-01	ceqw	sagrzdg	78888891	rshy
11	Iganze 	Beny Audric	P1A	M	05-01-01	aewc	dgh	78888892	sbf
12	Ikuzwe	Dorine	P1A	F	06-01-01	qwec	asdg	78888893	sfg
13	Imanzi  	Ghislain	P1A	M	07-01-01	qwec	qv	78888894	bf
14	INEZA	 Shimwa Ornella	P1A	F	08-01-01	qec	rge	78888895	rtsbh
15	Ineza 	Teta Merveille	P1A	F	09-01-01	q	qwg	78888896	bs
16	Ineza  	Ganza      Mike	P1A	M	10-01-01	qec	qwrf	78888897	seg
