#,First Name,Last Name,Class,Date of birth,Gender,Father,Mother,Guardian number,Address
1,abatoni,blandine,p6a,09-03-04,male,Gh,sb,788000000,asgrz
2,answer,Ganza Josué,p6a,10-03-04,female,Gh,sb,788000001,asgrz
3,Asiimwe ,Ineza Mellissa,p6a,11-03-04,female,Gh,sb,788000002,asgrz
4,Cyiza  ,Nancy  Christa,p6a,12-03-04,male,Gh,sb,788000003,asgrz
5,Dusenge ,Buntu M.Livin,p6a,13-03-04,F,Gh,sb,788000004,asgrz
6,Dushimiyimana ,Marie Chartine ,p6a,14-03-04,F,Gh,sb,788000005,asgrz
7,Ganza ,Cyomoro Mervin Beni,p6a,15-03-04,F,Gh,sb,788000006,asgrz
8,GIHANA,GAMIEL,p6a,16-03-04,F,Gh,sb,788000007,asgrz
9,Gitego ,Ruzindana Melina,p6a,17-03-04,M,Gh,sb,788000008,asgrz
10,Gwiza  ,Nikko  Salvi,p6a,18-03-04,F,Gh,sb,788000009,asgrz
11,Habiyakare  ,Ora Alliance,p6a,19-03-04,M,Gh,sb,788000010,asgrz
12,Ihirwe ,Agasaro Pamella,p6a,20-03-04,F,Gh,sb,788000011,asgrz
13,Irakoze ,Happy,p6a,21-03-04,M,Gh,sb,788000012,asgrz
14,Irizarangira ,Blessing ,p6a,22-03-04,F,Gh,sb,788000013,asgrz
15,Ishimwe ,Ange Ornella,p6a,23-03-04,F,Gh,sb,788000014,asgrz
16,Isimbi ,Divine,p6a,24-03-04,M,Gh,sb,788000015,asgrz
17,Karemera  ,Lloyd Ivan,p6a,25-03-04,F,Gh,sb,788000016,asgrz
18,Kwizera  ,Don Benisse,p6a,26-03-04,M,Gh,sb,788000017,asgrz
19,Mafura ,Ineza Ora,p6a,27-03-04,F,Gh,sb,788000018,asgrz
20,Mugabo ,Tumaini Bela Yvan,p6a,28-03-04,M,Gh,sb,788000019,asgrz
21,Mugisha  ,Uwase  Christella,p6a,29-03-04,F,Gh,sb,788000020,asgrz
22,Munezero  ,Remy  Boris,p6a,30-03-04,M,Gh,sb,788000021,asgrz
23,Ndizeye ,Vanessa,p6a,31-03-04,M,Gh,sb,788000022,asgrz
24,Rangira  ,Alan  Bobby,p6a,01-04-04,F,Gh,sb,788000023,asgrz
25,Sangano ,Germaine ,p6a,02-04-04,M,Gh,sb,788000024,asgrz
26,Ugirimpuhe ,Bwiza Aniella,p6a,03-04-04,M,Gh,sb,788000025,asgrz
27,Ugirimpuhwe  ,Mwiza  Arella,p6a,04-04-04,M,Gh,sb,788000026,asgrz
28,Ujeneza  ,Ruyange  M  Landry,p6a,05-04-04,M,Gh,sb,788000027,asgrz
29,Ukizemwabo  ,Junior,p6a,06-04-04,M,Gh,sb,788000028,asgrz
30,Umuhire ,Gaella,p6a,07-04-04,F,Gh,sb,788000029,asgrz
31,Uwase ,Kelly  Nice,p6a,08-04-04,F,Gh,sb,788000030,asgrz
